galactic year,galaxy,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y,Index
990025,Andromeda XIX[60],0.933548594,88.69905159,34997.58262,1.007119235,16.89444116,9.556912559,1.006856517,0.759775765,83.12100168,38.81780206,885.2093844,116.4883362,35.86101885,43.86393562,23.38773562,460.7782382,72.00517371,86.10269024,89.35906879,86.29841005,56.72039462,76.74475803,1.936287619,38.23569003,9.880767517,32.79822072,59.04293061,39.80123748,90.27214262,89.17446125,57.17824094,27.95849976,45.90889249,1.702665111,21.46680165,185.8913989,203.1159309,44.56191578,26.4725726,26304.11385,8373.959352,17.96995617,239.7526637,,,10.4402552,10.75549928,15.38246474,14.53575544,288.247793,34.75436549,,,119.1408481,,62.06574028,58.07058372,37.36703459,12.970837,60.4199899,,118.6565866,,,,,,,,,,,,19.29703526,,0.140836917,150
990025,Andromeda XV,0.967121056,84.30735447,34525.05466,0.982653538,17.25429071,12.42931874,0.977991159,0.871239385,38.06173187,24.52377854,611.0874619,117.1187669,45.99370652,27.44284905,22.72524054,522.6992173,47.8603967,82.43760584,83.60468525,54.06787682,67.90217216,45.91844869,2.252123217,13.91445327,17.98711417,25.39803046,62.71478845,66.01393413,76.62496254,78.20224814,63.86694173,34.64837325,50.27663481,1.857685927,44.13134735,227.2626508,215.3123786,28.51578153,13.43378239,39560.71413,2668.436983,15.83235434,111.5140248,,5.161813001,14.08383156,14.53903994,18.45691166,17.99377925,418.6258726,23.53414524,,,138.2661237,152.5440613,112.8105234,90.24831202,26.38590816,10.49916071,96.33489593,,109.2262906,,,,,,,,,,27.81884753,,19.85413967,,0.135825717,73
990025,Andromeda XVII,0.57059662,56.22416409,21346.29428,0.702895756,6.571979815,,,,,39.08781491,1014.832116,48.54463647,262.6645491,167.1363391,11.89397063,758.6191705,69.23409106,55.10813078,65.78467361,48.96727313,111.755388,203.317558,2.241305455,120.0116947,10.20470402,93.93092779,79.81758951,81.4523291,43.71360356,98.20729907,78.97419722,99.56528362,51.31019587,2.43695748,19.92422804,450.3573538,485.2341428,62.25617372,29.118407,27491.53512,6227.790645,8.492254827,87.52427413,,9.11085714,,,,,1211.425523,124.4785488,,,,148.4340208,,,33.7622655,11.8951425,,,,,,,,,,,,,22.35838904,0.388783089,,,0.067081083,55
990025,Andromeda XVIII[60],0.810084262,70.08066939,34215.30073,0.714644869,,,,,,,830.2885177,42.93283922,111.4290011,60.89471584,15.61420884,651.607152,49.91330016,73.21298102,75.62636042,105.4212305,108.0819508,106.1813563,,,,,,,,,,,,,,298.6882367,290.8549272,31.9673026,17.02496716,24254.80657,5351.116834,,,,,,,,,584.7329177,,,,,,,,,,,,,,,,,,,,,,,,,,0.049022708,50
990025,Andromeda XX,0.904443584,80.65091466,23010.71692,0.779183609,13.80901496,7.803830196,0.678156582,0.556244053,148.0610984,28.50369751,684.908162,70.4354979,93.54246729,69.7605979,15.57299072,497.9612797,56.67298698,71.51647169,73.69560522,63.63899111,123.6600273,186.4823938,1.900963984,80.78780157,14.81510632,59.87211423,73.54884297,57.62662413,68.93081452,94.26111591,78.93078452,90.17435699,65.47179405,2.612764612,21.89359375,279.7269603,383.7757771,20.48153199,15.7525959,18685.79712,11274.20876,15.46317109,121.259552,,8.701992753,8.012965272,7.975019146,12.76860517,11.73352882,435.0148634,91.37045565,,,,72.16040508,48.91108512,49.91683465,25.11573985,7.775933111,64.35755256,,128.8983498,,,,,,,,,,23.42871281,5.746299283,45.44426111,,0.055536644,27
990025,Andromeda XXIII,0.767744018,71.99834543,15938.22562,0.67436617,13.02923776,6.53256218,0.627775134,0.501202057,164.0077225,43.04641885,857.7959525,45.71971117,110.9858528,100.1661139,13.55956264,1050.50964,52.63690788,72.52164175,73.78890846,79.65451269,90.37579111,125.4758732,2.356075692,99.36589146,6.936465478,69.54383761,73.68640027,53.88308249,59.3820749,92.29294785,73.16473241,85.16734615,42.63905756,2.09646056,21.83719351,264.5919522,326.4784381,54.02010344,24.19923037,27830.37417,4954.891909,17.16318299,101.2980787,,18.83153648,5.489740348,6.322816192,13.05814397,14.35271406,709.3307328,91.32298528,,,,92.47353848,36.98207749,69.34296636,33.96094674,5.596487332,52.25899096,,140.6527829,,,,,,,,,,15.70162614,3.2531629,37.99547546,,0.063542018,160
990025,Andromeda XXII[57],1.002981411,80.33264157,27881.36772,0.812101158,13.52522779,8.571176308,0.761600119,0.566782517,142.5182077,38.10207025,1194.325293,61.99154447,68.46012622,56.45323245,17.65407974,465.6480887,71.70008612,75.17016211,83.39250737,55.54359443,61.52770269,72.14149744,3.107561172,48.79501207,19.30012636,32.88028336,72.11873164,58.63786098,54.23903615,84.91479869,68.75786494,38.10940138,41.98564131,2.551806537,33.49492752,230.0731387,411.5789879,29.90876774,18.19780208,27932.82781,10130.22389,10.9701065,187.9822933,,3.13690904,7.928414284,12.06668725,13.15070823,13.1286142,446.5838823,72.9449852,,,,94.80473966,64.81848927,70.70264229,35.11195389,,73.11867066,,132.6437533,,,,,,,,,,30.82265555,,48.41981217,,0.076159813,41
990025,Andromeda XXIV,0.494827938,60.73834633,22835.04864,0.489034658,7.561977692,6.392014944,0.485633218,0.432157641,174.6198347,28.65196198,749.2489222,35.03889168,282.1272106,178.0062536,15.01045185,609.1922129,42.49014506,52.45371925,55.75171071,97.0939162,115.9271841,236.4417569,2.31584488,86.42291458,14.43718203,99.86797443,85.84568225,95.99684107,33.04008685,91.04734801,78.92800978,68.99267975,46.13862643,2.728513575,25.02326272,482.8684261,644.0051328,38.42335885,17.89647273,12064.96203,11929.5097,16.39626201,92.60556704,,15.81918737,5.294886651,5.851213292,8.094836708,10.04330806,1199.917531,112.2922963,,,,89.12761353,25.22972927,32.08343153,29.23308973,,37.34990388,,94.19298765,,,,,,,,,,9.722496859,11.55572936,,,0.050305151,123
990025,Andromeda XXIX,0.455822781,50.44678688,14535.75207,0.473901675,,5.500229838,,,,,250.9674387,87.78081301,316.6499001,208.5020528,13.10673279,499.320372,57.1527645,56.69373201,59.65525834,57.90697107,107.5787013,222.4978201,2.282030771,107.8373767,8.234181842,67.92720116,67.28552706,66.48964879,67.91362389,67.08546345,67.5205717,73.91434401,54.85255948,2.670044883,12.58106376,373.0827427,458.924149,,,,,,,,,5.295135532,7.272374876,,,2001.22217,130.086254,,,,,41.1627372,48.59966682,,,43.00177645,,,,,,,,,,,,,8.917659495,,,0.049870717,154
990025,Andromeda XXI[57],0.977389051,83.66145158,36896.63838,0.891319117,15.13650694,12.46380991,0.993864724,0.923960116,99.54275871,,776.0146909,94.78419236,58.01747594,36.87853112,21.54844126,477.171995,17.29902735,74.36173122,83.98297482,86.01182733,58.39259052,62.25461477,3.015550427,47.46613178,8.75556967,60.85564856,77.7785304,67.79501256,60.03092542,82.63358671,69.23055195,54.79659604,62.91151094,1.567045116,13.49867879,220.8890337,450.728539,,,,,,,,,11.93051312,13.26773849,17.06415158,15.07050585,331.5456679,34.71453604,,,160.8946276,,98.16363463,91.86383234,,,94.62142278,,108.1020044,,,,,,,,,,,6.026393066,,,0.091956999,107
990025,Andromeda XXV,0.9255063,68.48206032,20305.98134,0.684260725,15.15781244,9.002801193,0.720076401,0.609332658,153.3863123,43.59204276,814.7425097,43.74664318,123.6140484,67.23143802,15.03781291,461.6525745,55.12986102,67.55978406,73.31265961,84.37344505,77.0528232,123.0664876,2.549204647,76.19439845,16.59890405,55.78455706,72.75752458,55.93489057,63.45961192,92.98157555,62.60250483,102.9028106,46.26897712,2.77784481,40.40796335,226.2152584,479.8583215,47.20318888,22.73193295,11581.95783,6520.843794,16.89417049,193.3545684,,6.931760802,10.51262449,9.620764304,,,393.9359253,84.30374021,,,,339.3662328,55.37450239,59.04902807,36.40804107,,71.73080282,,,,,,,,,,,,,4.38739556,,,0.059586142,136
990025,Andromeda XXVI,0.67849816,60.16035214,15190.56713,0.582529153,11.81139393,6.058470466,0.615295495,0.443219091,161.8964608,39.96690981,1676.880939,54.15224574,172.0615415,112.9760075,12.97434265,925.3633738,80.02744893,71.33332819,71.19262212,156.24458,84.56010988,138.0876154,2.498655703,94.88839474,4.061091506,94.72274395,68.38557395,48.95035146,40.59513034,95.79439173,70.524851,51.18063076,22.85018519,1.980245876,15.62530395,426.7442602,402.1538041,56.0208996,27.47519015,15779.69872,11648.06086,10.8712546,61.94789913,,9.784025161,7.348731016,6.948328418,10.76771269,12.78586205,906.8543023,107.3473223,,,,110.0923223,35.82617485,61.36225118,32.53579705,5.111791223,63.30458226,,110.3898368,,,,,,,,,,28.95400062,3.671461396,,,0.055371584,38
990025,Andromeda XXVIII,0.935056713,74.89763273,36618.99149,0.971168505,14.99400534,10.6596464,0.863896491,0.811246444,99.74528251,,751.9521921,115.3815525,72.46774237,35.88737025,23.69115724,352.9654785,59.73544387,73.24487546,83.92099634,93.41153935,69.40702005,81.7050679,2.281048848,31.85957246,8.039059168,42.47430711,79.66682708,71.04218887,73.94325927,79.77861537,70.48989568,92.16541866,58.31568139,1.809251439,21.71235586,194.4682675,459.3513515,,,,,,,,,11.94217164,7.932530622,15.83369551,15.29839579,446.439052,45.03597167,,,139.241664,,83.08483573,94.71734209,,,80.58814545,,108.238103,,,,,,,,,,,,,,0.090360345,134
990025,Antlia 2,0.931620693,78.69279379,30734.09554,0.817362749,14.60561237,9.534550359,0.82662769,0.676618727,106.1543137,,986.2864848,70.81772482,24.74854588,39.76373518,22.84893333,567.0249042,40.23877887,79.85808995,82.96683666,79.04191089,59.65060223,112.86318,2.854171402,64.46558683,21.6418248,54.16516422,69.47284711,62.92791903,71.46354187,75.76407611,56.5038913,45.56722376,49.2286627,2.041642833,56.97088547,201.4631078,382.6196785,,,,,,,,,11.39179035,11.77314281,15.30902019,13.09882703,236.1441026,29.61091176,,,145.6420194,,74.57737441,79.18603652,,,74.33994588,,,,,,,,,,,,,,,,0.099210988,139
990025,Antlia B,0.503535589,52.92151899,19542.62885,0.409469331,8.428206518,3.589207552,0.361020136,0.278372786,171.6206446,32.53894455,566.3828589,49.97827965,289.5027982,188.3081794,10.94501883,642.0702563,71.16064799,47.76150444,57.85864777,81.99105854,116.0069084,240.3176799,2.052326805,131.4865882,9.244272405,101.645582,90.01694101,108.3675961,30.15676474,94.75005654,89.82109488,80.8764821,41.30185717,1.63135024,13.76934828,505.1180935,606.6135383,53.24929038,44.88314876,23042.31815,7067.278261,11.58827851,82.37227778,,7.243757824,4.228023611,3.360214116,8.248279793,7.699302311,1740.87326,109.1208036,,,,80.85977546,,,30.65134202,11.53607039,26.63777023,,81.55821193,,,,,,,,,,,4.423381205,,,0.047487445,128
990025,Antlia Dwarf,0.828027592,71.25642224,21431.82652,0.856275746,14.1823373,11.85618463,0.754593182,0.748314417,159.3430871,32.5491133,1142.376983,84.5114751,190.6139521,106.2581222,16.96396316,397.5139807,100.9107017,67.75966147,72.18755934,60.94539405,99.3203449,89.28143837,1.289920046,67.35420418,9.108179381,70.50918925,67.69377216,65.80930734,46.07791755,68.78528052,68.97343381,33.9621602,56.60156161,1.266200957,19.89112255,296.0867752,386.7092674,20.91800656,17.50063568,20195.66559,9282.601852,,101.6440434,,9.716022461,11.76018217,10.63094026,,,421.9003867,31.96779822,,,,,92.35147972,113.1595917,39.16321393,,103.7186657,,122.5011405,,,,,,,,,,15.60543689,5.680441444,,,0.059471811,10
990025,Aquarius Dwarf Galaxy (DDO 210),0.759411714,68.48146159,24707.49892,0.723449281,6.109395451,4.751748655,0.486954575,0.336804181,156.100979,28.54896597,945.4753793,63.30957244,174.2147315,104.8399822,9.38230391,516.7312718,80.39425211,67.47846235,69.64296575,96.10606658,95.1189911,142.8292534,2.375811763,81.42979776,14.01355089,108.7210031,62.04633392,42.10231056,33.33154312,84.43584812,52.42460777,22.20624645,34.83309677,2.308109257,36.43425422,313.7560887,437.509448,73.28129355,43.4334025,13689.68721,6788.935626,17.07289044,144.6881017,,12.28553271,6.845569451,5.554366315,7.219864077,6.245020791,1220.807454,94.96976347,,,,525.3895281,35.07637695,27.22857564,29.19339358,7.71800371,27.40012687,,67.35114934,,,,,,,,,,5.862910878,3.922746853,,,0.050539261,124
990025,Aquarius II,0.657401511,61.33708429,18231.02938,0.826377066,15.17332507,6.941814665,0.725536413,0.64724034,168.4870285,20.36322597,468.6892827,85.30888834,145.1008168,84.74682178,9.186092009,560.377037,48.50865013,60.94063338,61.6723183,90.51599979,113.1078928,151.5982393,2.776682199,95.59498128,26.49094098,60.52709805,79.53007676,92.51896357,42.54261769,79.1839848,63.98016609,89.40411838,56.35896516,1.849635116,43.30212399,406.1210367,459.0376245,35.78334814,23.51787487,23416.98464,4492.548226,18.31719805,131.9653012,,40.90095433,5.49814351,10.54579833,13.65860333,18.41948702,968.5436783,92.1144301,,,,86.50211791,49.97190718,80.02010254,25.09618126,8.769488318,60.20828191,,139.0222492,,,,,,,,,,-4.709357176,6.151801562,,,0.053927141,8
990025,Barnard's Galaxy (NGC 6822),0.755250658,66.70689166,36724.07171,0.993529617,16.18876624,7.092534838,0.765191401,0.732446961,127.8055608,31.439119,124.317664,100.2151682,138.0036828,83.94105466,17.92405017,490.2715758,64.52397198,74.68196755,72.14267318,102.5169164,107.8334178,250.0533891,2.383960088,82.86812405,22.90034188,65.71582968,59.22263135,49.6343699,65.21702258,73.18720076,51.68976954,102.8125949,28.91808854,2.080271944,52.05200703,342.995172,381.6746038,46.03999225,13.63217007,31925.41209,5736.115908,10.838527,125.3919586,,38.80569917,10.54417015,6.480556097,,,916.2091825,92.34060621,,,,123.7987294,63.51883677,42.86739203,28.2078581,7.371658208,63.93502068,,,,,,,,,,,,-12.83184294,6.277345086,,,0.054741955,114
990025,Boötes I,0.788359869,72.1670186,28253.019,0.928837298,12.2582403,6.821276508,0.791114796,0.682626911,128.442851,45.71208128,709.5803104,72.6412538,90.30326626,56.33636988,15.28491145,308.0328602,72.57064103,61.29804244,74.4358656,80.5553983,109.7495275,117.0330766,2.400509105,52.38238335,21.32126696,35.61254431,68.52556512,62.47474746,67.64765934,82.99118821,65.43250603,53.99808794,51.79336615,3.298747686,34.77348937,360.5311368,396.4817141,27.87926872,11.72066238,13194.70733,6781.833994,18.65467654,179.1453924,,9.277546808,9.396039987,7.232292853,13.77793771,13.61983747,526.1099896,74.58277991,,,,27.03097883,74.26872801,87.09995813,36.795737,13.28417504,77.90128404,,121.4105391,,,,,,,,,,50.13247801,11.33284091,16.38927068,,0.053564211,112
990025,Boötes II,1.057923321,88.83857936,29624.86605,0.953335805,15.54690174,10.93830813,0.816246137,0.678821431,86.43903907,19.90479197,550.0396566,48.62948307,68.19993653,38.2572887,25.86875992,670.4089792,50.76993077,84.38957312,84.46523599,85.56456543,73.44519694,106.1829664,2.539253575,35.66142633,28.83542122,32.04941906,79.04183305,84.83298306,94.29788112,89.18145396,59.70442634,39.26049384,61.9603507,2.002739654,48.03974801,297.6504083,269.8292239,18.27302113,13.25044305,39104.41946,4964.814148,17.53984575,156.4728201,,6.904513198,11.76080183,9.220327021,15.70133928,15.13150819,286.1706282,42.48818823,,,,115.7833084,111.2192576,104.883634,24.8714357,5.076954851,89.15560896,,133.8037369,,,,,,,,,,33.66470828,4.558832989,32.21569481,,0.097461212,164
